;Rótulos de Coluna;;;;;;;;
Rótulos de Linha;202501;202502;202503;202504;202505;202506;202507;202508;Total Geral
AMBAR SUL ENERGIA S.A.;;;;;;;;;
AMPLA ENERGIA E SERVICOS S.A.;;;;;;;;;
CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS;;;;;;;;;
CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A;;;;;;;;;
CESP - COMPANHIA ENERGETICA DE SAO PAULO;;;;;;;;;
COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA;;;;;;;;;
COMPANHIA DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA DO SUL DO BRASIL - ELETROBRAS CGT ELETROSUL;;;;;;;;;
COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG;;;;;;;;;
COMPANHIA ENERGETICA DE PERNAMBUCO;;;;;;;;;
COMPANHIA ENERGETICA DO CEARA;;;;;;;;;
COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE COSERN;;;;;;;;;
COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO;;;;;;;;;
COMPANHIA PAULISTA DE FORCA E LUZ;;;;;;;;;
CPFL GERACAO DE ENERGIA S/A;;;;;;;;;
CSN ENERGIA S/A;;;;;;;;;
DONA FRANCISCA ENERGETICA S.A.;;;;;;;;;
EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA S.A.;;;;;;;;;
EDP SAO PAULO DISTRIBUICAO DE ENERGIA S.A.;;;;;;;;;
EDP TRADING COMERCIALIZACAO E SERVICOS DE ENERGIA SA;;;;;;;;;
ELEKTRO REDES S.A.;;;;;;;;;
ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;;;;;;;;;
EMAE - EMPRESA METROPOLITANA DE AGUAS E ENERGIA SA;;;;;;;;;
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;;;;;;;;;
ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.;;;;;;;;;
ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.;;;;;;;;;
ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S.A;;;;;;;;;
ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.;;;;;;;;;
ENGIE BRASIL ENERGIA S.A.;;;;;;;;;
EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.;;;;;;;;;
EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S/A;;;;;;;;;
EQUATORIAL MARANHAO DISTRIBUIDORA DE ENERGIA S.A;;;;;;;;;
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;;;;;;;;;
EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A;;;;;;;;;
NC ENERGIA S.A.;;;;;;;;;
NEXA RECURSOS MINERAIS S.A.;;;;;;;;;
RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;;;;;;;;;
RIO PARANAPANEMA ENERGIA S.A.;;;;;;;;;
VALE S.A.;;;;;;;;;
Total Geral;;;;;;;;;
